district,mean_articles_per_month,median_articles_per_month,n_months_observed,total_articles
"High plateau Irish potatoes, maize, acha (Digitaria), and livestock, Bauchi, Nigeria",29743.208333333332,28807.0,48,1427674.0
"Ginger and turmeric with maize, sorghum, yams, and acha (Digitaria), Kaduna, Nigeria",29360.416666666668,28342.5,48,1409300.0
"High plateau Irish potatoes, maize, acha (Digitaria), and livestock, Plateau, Nigeria",29219.916666666668,28278.5,48,1402556.0
"Northern Pastoral Zone, Waso, Samburu East, Samburu, Kenya",15710.583333333334,14730.5,48,754108.0
"Western Agropastoral Zone, Waso, Samburu East, Samburu, Kenya",15710.583333333334,14730.5,48,754108.0
"Gumer, Gurage, Central Ethiopia, Ethiopia",8297.833333333334,7925.5,48,398296.0
"Gumer, Gurage, SNNPR, Ethiopia",8297.833333333334,7925.5,48,398296.0
"Gumer, Guraghe, SNNPR, Ethiopia",8297.791666666666,7925.5,48,398294.0
"Not Zoned (Desert), Tchirozerine, Agadez, Niger",3504.5833333333335,2755.0,48,168220.0
"Transhumant and Nomad Pastoralism, Tchirozerine, Agadez, Niger",3504.5833333333335,2755.0,48,168220.0
"Aïr Massif Irrigated Gardening, Tchirozerine, Agadez, Niger",3504.5833333333335,2755.0,48,168220.0
Rwanda,3245.7291666666665,994.5,48,155795.0
"Central Agropastoral, Fitri, Batha, Chad",2959.3125,1994.0,48,142047.0
"Western Agropastoral Millet, Soudari, North Kordofan, Sudan",2704.1458333333335,2324.5,48,129799.0
"West and Central Pastoral, Soudari, North Kordofan, Sudan",2700.875,2324.0,48,129642.0
"Urban, Chitungwiza, Harare, Zimbabwe",2094.4166666666665,1514.0,48,100532.0
"Urban, Epworth, Harare, Zimbabwe",2083.1875,1507.0,48,99993.0
"Urban, Harare Urban, Harare, Zimbabwe",2083.1458333333335,1507.0,48,99991.0
Angola,1959.3125,1763.5,48,94047.0
"Lusulu, Lupane and Southern Gokwe Mixed Agriculture, Kwekwe Rural, Midlands, Zimbabwe",1837.6666666666667,1124.0,48,88208.0
"Eastern Kalahari Sandveld Communal, Kwekwe Rural, Midlands, Zimbabwe",1831.5208333333333,1122.5,48,87913.0
"Northern Cattle and Cereal Farming, Kwekwe Rural, Midlands, Zimbabwe",1831.5208333333333,1122.5,48,87913.0
"Urban, Kwekwe Urban, Midlands, Zimbabwe",1831.5,1122.5,48,87912.0
"SANAGA-MBAM PLAIN: cocoa, plantain, pineapple, market gardening, cassava, yellow yams, smallstock, poultry, Mbam et Kim, Centre, Cameroon",1662.5625,1463.0,48,79803.0
"Eastern Central Lowland Cassava Sorghum and Groundnut Zone, Dokolo, Northern, Uganda",1626.7083333333333,1474.5,48,78082.0
"Lakes Recessional Millet and Sorghum, Goundam, Tombouctou, Mali",1626.2083333333333,1306.0,48,78058.0
"Northern Livestock, Goundam, Tombouctou, Mali",1626.2083333333333,1306.0,48,78058.0
"Nomadism and Trans-Saharan Trade, Goundam, Tombouctou, Mali",1626.2083333333333,1306.0,48,78058.0
"Mid North Simsim Maize Cassava Zone, Dokolo, Northern, Uganda",1624.7708333333333,1474.5,48,77989.0
"Lakeshore and Riverbank Fishing Zone, Dokolo, Northern, Uganda",1624.7708333333333,1474.5,48,77989.0
"Lagos Peri-urban: fishing, poultry, piggeries, market gardening, and coconuts, Ogun, Nigeria",1555.75,1420.5,48,74676.0
"Lagos Peri-urban: fishing, poultry, piggeries, market gardening, and coconuts, Lagos, Nigeria",1337.9375,1208.5,48,64221.0
"Rokero Camp, Sudan",1276.6458333333333,766.0,48,61279.0
"Enderta, Southeast Tigray, Tigray, Ethiopia",1249.9791666666667,835.5,48,59999.0
"Enderta, South Eastern, Tigray, Ethiopia",1249.9791666666667,835.5,48,59999.0
"Addun Pastoral, Hobyo, Mudug, Somalia",1206.2083333333333,817.0,48,57898.0
"Cowpea Belt Agropastoral, Hobyo, Mudug, Somalia",1206.2083333333333,817.0,48,57898.0
"Coastal Deeh Pastoral and Fishing, Hobyo, Mudug, Somalia",1206.2083333333333,817.0,48,57898.0
"Kasungu Lilongwe Plain, Dowa, Central, Malawi",1159.7291666666667,1281.5,48,55667.0
"Urban, Dowa, Central, Malawi",1108.4166666666667,1197.5,48,53204.0
"Central yams and maize belt, with cassava, rice, and soybeans, Federal Capital Territory, Nigeria",1010.6875,820.0,48,48513.0
"Flood-retreat Cultivation, Um Durman, Khartoum, Sudan",980.7916666666666,347.0,48,47078.0
"Southern Riverine Small/Medium-scale Cultivation, Um Durman, Khartoum, Sudan",980.7916666666666,347.0,48,47078.0
"West and Central Pastoral, Um Durman, Khartoum, Sudan",980.7916666666666,347.0,48,47078.0
"Southern Riverine Small/Medium-scale Cultivation, Jebel Awlia, Khartoum, Sudan",967.7916666666666,335.5,48,46454.0
"Eastern Agropastoral Sorghum, Sharg An Neel, Khartoum, Sudan",964.0416666666666,330.0,48,46274.0
"Southern Riverine Small/Medium-scale Cultivation, Khartoum, Khartoum, Sudan",964.0416666666666,330.0,48,46274.0
"Eastern Pastoral, Jebel Awlia, Khartoum, Sudan",964.0416666666666,330.0,48,46274.0
"Eastern Pastoral, Bahri, Khartoum, Sudan",964.0416666666666,330.0,48,46274.0
"Eastern Pastoral, Khartoum, Khartoum, Sudan",964.0416666666666,330.0,48,46274.0
"Eastern Pastoral, Sharg An Neel, Khartoum, Sudan",964.0416666666666,330.0,48,46274.0
"West and Central Pastoral, Um Bada, Khartoum, Sudan",964.0416666666666,330.0,48,46274.0
"West and Central Pastoral, Karrari, Khartoum, Sudan",964.0416666666666,330.0,48,46274.0
"Flood-retreat Cultivation, Jebel Awlia, Khartoum, Sudan",964.0416666666666,330.0,48,46274.0
"Southern Riverine Small/Medium-scale Cultivation, Bahri, Khartoum, Sudan",964.0416666666666,330.0,48,46274.0
"Central Irrigated Schemes, Jebel Awlia, Khartoum, Sudan",964.0416666666666,330.0,48,46274.0
"Southern Riverine Small/Medium-scale Cultivation, Karrari, Khartoum, Sudan",964.0416666666666,330.0,48,46274.0
"Southern Highlands, Gitega, Burundi",943.8333333333334,735.5,48,45304.0
"Humid Plateaus, Gitega, Burundi",943.8333333333334,735.5,48,45304.0
"Eastern Arid Plateaus, Gitega, Burundi",943.8333333333334,735.5,48,45304.0
"Kinshasa Peri-urban, Kasangulu, Kongo-Central, Democratic Republic of the Congo, Congo, The Democratic Republic of the",908.6666666666666,801.0,48,43616.0
"Fishing and Staples Riverine, City of Kinshasa, Kinshasa, Democratic Republic of the Congo, Congo, The Democratic Republic of the",906.9791666666666,801.0,48,43535.0
"Cassava, Maize and Groundnuts, City of Kinshasa, Kinshasa, Democratic Republic of the Congo, Congo, The Democratic Republic of the",906.9791666666666,801.0,48,43535.0
"Kinshasa Peri-urban, City of Kinshasa, Kinshasa, Democratic Republic of the Congo, Congo, The Democratic Republic of the",906.9791666666666,801.0,48,43535.0
"Cheringoma and Muanza Maize and Cassava, Muanza, Sofala, Mozambique",834.3125,642.5,48,40047.0
"Cheringoma and Muanza Maize and Cassava, Cheringoma, Sofala, Mozambique",834.3125,642.5,48,40047.0
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Nasarawa, Nigeria",831.25,847.0,48,39900.0
"Niger-Benue rivers fishing and food crops, Nasarawa, Nigeria",831.25,847.0,48,39900.0
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Edo, Nigeria",767.1458333333334,745.0,48,36823.0
"Niger-Benue rivers fishing and food crops, Edo, Nigeria",767.1458333333334,745.0,48,36823.0
"Niger-Benue rivers fishing and food crops, Anambra, Nigeria",727.3541666666666,686.0,48,34913.0
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Anambra, Nigeria",727.3541666666666,686.0,48,34913.0
"Ankaratra: staple crops, horticulture, milk, Betafo, Vakinankaratra, Madagascar",706.8958333333334,454.0,48,33931.0
"Ankaratra: staple crops, horticulture, milk, Antanifotsy, Vakinankaratra, Madagascar",706.75,455.5,48,33924.0
"Ankaratra: staple crops, horticulture, milk, Faratsiho, Vakinankaratra, Madagascar",706.7083333333334,454.0,48,33922.0
"Ankaratra: staple crops, horticulture, milk, Ambatolampy, Vakinankaratra, Madagascar",706.6458333333334,454.0,48,33919.0
"Ankaratra: staple crops, horticulture, milk, Antsirabe II, Vakinankaratra, Madagascar",706.6041666666666,454.0,48,33917.0
"Agropastoral midwest: rice, maize, pulses, Mandoto, Vakinankaratra, Madagascar",706.6041666666666,454.0,48,33917.0
"Ankaratra: staple crops, horticulture, milk, Antsirabe I, Vakinankaratra, Madagascar",706.6041666666666,454.0,48,33917.0
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Fune, Yobe, Nigeria",701.8333333333334,676.0,48,33688.0
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Delta, Nigeria",682.5416666666666,677.5,48,32762.0
"Central Highlands, High Potential Zone, Starehe, Nairobi, Kenya",667.2708333333334,645.5,48,32029.0
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Enugu, Nigeria",656.0416666666666,632.5,48,31490.0
"Rubkona, Unity, South Sudan",615.3333333333334,546.0,48,29536.0
"Mayendit, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Pariang, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Abiemnhom, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Guit, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Mayom, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Koch, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Leer, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Panyijiar, Unity, South Sudan",607.9583333333334,541.0,48,29182.0
"Orientale Fishing with Agriculture, Djugu, Ituri, Democratic Republic of the Congo, Congo, The Democratic Republic of the",607.3333333333334,548.0,48,29152.0
"Forest Cultivation and Products, Djugu, Ituri, Democratic Republic of the Congo, Congo, The Democratic Republic of the",607.3333333333334,548.0,48,29152.0
"Artisanal Mining with Agriculture, Djugu, Ituri, Democratic Republic of the Congo, Congo, The Democratic Republic of the",607.3333333333334,548.0,48,29152.0
"Northeast Highlands Agriculture, Djugu, Ituri, Democratic Republic of the Congo, Congo, The Democratic Republic of the",607.3333333333334,548.0,48,29152.0
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Kogi, Nigeria",599.7916666666666,548.0,48,28790.0
"Intensive Artisanal Diamond Exploitation with Crop Cultivation, Kamonia, Kasai, Democratic Republic of the Congo, Congo, The Democratic Republic of the",591.0,506.5,48,28368.0
"Savannah with Cassava and Cowpeas and Small Livestock, Kamonia, Kasai, Democratic Republic of the Congo, Congo, The Democratic Republic of the",591.0,506.5,48,28368.0
"	Intensive Artisanal Diamond Exploitation with Crop Cultivation, Kamonia, Kasai, Democratic Republic of the Congo, Congo, The Democratic Republic of the",591.0,506.5,48,28368.0
"Lighter Forest with Rice and Cassava, Kamonia, Kasai, Democratic Republic of the Congo, Congo, The Democratic Republic of the",591.0,506.5,48,28368.0
"Niger-Benue rivers fishing and food crops, Kwara, Nigeria",586.2291666666666,554.0,48,28139.0
"Niger and Benue rivers flood plain rice with maize, vegetables, and livestock, Kwara, Nigeria",586.2291666666666,554.0,48,28139.0
"Borno-Yobe-Bauchi millet, cowpeas, groundnuts, and sesame, Damaturu, Yobe, Nigeria",586.1666666666666,547.0,48,28136.0
"Copperbelt and Marginal Agriculture, City of Lubumbashi, Haut-Katanga, Democratic Republic of the Congo, Congo, The Democratic Republic of the",585.8125,507.0,48,28119.0
"Northern Plateau Cassava, Maize, Groundnuts and Beans, Bosobolo, North Ubangi, Democratic Republic of the Congo, Congo, The Democratic Republic of the",584.6666666666666,493.5,48,28064.0
"Fishing and Staples Riverine, Bosobolo, North Ubangi, Democratic Republic of the Congo, Congo, The Democratic Republic of the",584.6666666666666,493.5,48,28064.0
"Midland Agricultural Savannah, City of Bukavu, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",583.8125,513.0,48,28023.0
"High Food Production and Surplus Trade, Shabunda, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",582.5625,499.5,48,27963.0
"Forest Cultivation and Products, Shabunda, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",582.5625,499.5,48,27963.0
"Mountain Agropastoral, Shabunda, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",582.5625,499.5,48,27963.0
