district,mean_articles_per_month,n_months_observed
"High plateau Irish potatoes, maize, acha (Digitaria), and livestock, Bauchi, Nigeria",29742.833333333332,48
"Ginger and turmeric with maize, sorghum, yams, and acha (Digitaria), Kaduna, Nigeria",29360.041666666668,48
"High plateau Irish potatoes, maize, acha (Digitaria), and livestock, Plateau, Nigeria",29219.541666666668,48
"Western Agropastoral Zone, Waso, Samburu East, Samburu, Kenya",15710.583333333334,48
"Northern Pastoral Zone, Waso, Samburu East, Samburu, Kenya",15710.583333333334,48
"Gumer, Gurage, SNNPR, Ethiopia",8297.833333333334,48
"Gumer, Gurage, Central Ethiopia, Ethiopia",8297.833333333334,48
"Gumer, Guraghe, SNNPR, Ethiopia",8297.791666666666,48
"Transhumant and Nomad Pastoralism, Tchirozerine, Agadez, Niger",3504.5833333333335,48
"Not Zoned (Desert), Tchirozerine, Agadez, Niger",3504.5833333333335,48
"Aïr Massif Irrigated Gardening, Tchirozerine, Agadez, Niger",3504.5833333333335,48
"Central Agropastoral, Fitri, Batha, Chad",2959.25,48
"Urban, Chitungwiza, Harare, Zimbabwe",2956.676470588235,34
"Urban, Epworth, Harare, Zimbabwe",2940.823529411765,34
"Urban, Harare Urban, Harare, Zimbabwe",2940.764705882353,34
"Western Agropastoral Millet, Soudari, North Kordofan, Sudan",2703.75,48
"West and Central Pastoral, Soudari, North Kordofan, Sudan",2700.4791666666665,48
"Lusulu, Lupane and Southern Gokwe Mixed Agriculture, Kwekwe Rural, Midlands, Zimbabwe",2449.972222222222,36
"Eastern Kalahari Sandveld Communal, Kwekwe Rural, Midlands, Zimbabwe",2441.777777777778,36
"Northern Cattle and Cereal Farming, Kwekwe Rural, Midlands, Zimbabwe",2441.777777777778,36
"Urban, Kwekwe Urban, Midlands, Zimbabwe",2441.75,36
"Lakeshore and Riverbank Fishing Zone, Dokolo, Northern, Uganda",1695.2391304347825,46
"Mid North Simsim Maize Cassava Zone, Dokolo, Northern, Uganda",1695.2391304347825,46
"SANAGA-MBAM PLAIN: cocoa, plantain, pineapple, market gardening, cassava, yellow yams, smallstock, poultry, Mbam et Kim, Centre, Cameroon",1662.5416666666667,48
"Eastern Central Lowland Cassava Sorghum and Groundnut Zone, Dokolo, Northern, Uganda",1661.1489361702127,47
"Nomadism and Trans-Saharan Trade, Goundam, Tombouctou, Mali",1626.0208333333333,48
"Lakes Recessional Millet and Sorghum, Goundam, Tombouctou, Mali",1626.0208333333333,48
"Northern Livestock, Goundam, Tombouctou, Mali",1626.0208333333333,48
"Lagos Peri-urban: fishing, poultry, piggeries, market gardening, and coconuts, Ogun, Nigeria",1555.6666666666667,48
"Lagos Peri-urban: fishing, poultry, piggeries, market gardening, and coconuts, Lagos, Nigeria",1337.8541666666667,48
"Rokero Camp, Sudan",1276.6458333333333,48
"Enderta, South Eastern, Tigray, Ethiopia",1249.9791666666667,48
"Enderta, Southeast Tigray, Tigray, Ethiopia",1249.9791666666667,48
